Iteration	CPUTime	PhysTime	Travels
1	2	0	0.000653987716
5	3	0	0.00326993858
10	5	0	0.00653987716
15	6	0	0.00980981574
20	7	0	0.0130797543
25	8	0	0.0163496929
30	9	0	0.0196196315
35	10	0	0.0228895701
40	11	0	0.0261595087
45	13	0	0.0294294472
50	14	0	0.0326993858
55	15	0	0.0359693244
60	16	0	0.039239263
65	18	0	0.0425092016
70	19	0	0.0457791401
75	20	0	0.0490490787
80	21	0	0.0523190173
85	22	0	0.0555889559
90	24	0	0.0588588945
95	25	0	0.062128833
100	26	0	0.0653987716
105	28	0	0.0686687102
110	29	0	0.0719386488
115	30	0	0.0752085874
120	31	0	0.078478526
125	32	0	0.0817484645
130	34	0	0.0850184031
135	35	0	0.0882883417
140	36	0	0.0915582803
145	37	0	0.0948282189
150	39	0	0.0980981574
155	40	0	0.101368096
160	41	0	0.104638035
165	42	0	0.107907973
170	44	0	0.111177912
175	45	0	0.11444785
180	46	0	0.117717789
185	47	0	0.120987728
190	49	0	0.124257666
195	50	0	0.127527605
200	51	0	0.130797543
205	52	0	0.134067482
210	54	0	0.13733742
215	55	0	0.140607359
220	56	0	0.143877298
225	57	0	0.147147236
230	59	0	0.150417175
235	60	0	0.153687113
240	61	0	0.156957052
245	62	0	0.16022699
250	64	0	0.163496929
255	65	0	0.166766868
260	66	0	0.170036806
265	67	0	0.173306745
270	69	0	0.176576683
275	70	0	0.179846622
280	71	0	0.183116561
285	72	0	0.186386499
290	74	0	0.189656438
295	75	0	0.192926376
300	76	0	0.196196315
305	78	0	0.199466253
310	79	0	0.202736192
315	80	0	0.206006131
320	81	0	0.209276069
325	83	0	0.212546008
330	84	0	0.215815946
335	85	0	0.219085885
340	87	0	0.222355824
345	88	0	0.225625762
350	90	0	0.228895701
355	91	0	0.232165639
360	93	0	0.235435578
365	94	0	0.238705516
370	96	0	0.241975455
375	97	0	0.245245394
380	99	0	0.248515332
385	100	0	0.251785271
390	102	0	0.255055209
395	103	0	0.258325148
400	105	0	0.261595087
405	106	0	0.264865025
410	108	0	0.268134964
415	109	0	0.271404902
420	111	0	0.274674841
425	112	0	0.277944779
430	114	0	0.281214718
435	115	0	0.284484657
440	116	0	0.287754595
445	118	0	0.291024534
450	119	0	0.294294472
455	120	0	0.297564411
460	121	0	0.30083435
465	123	0	0.304104288
470	124	0	0.307374227
475	125	0	0.310644165
480	126	0	0.313914104
485	128	0	0.317184042
490	129	0	0.320453981
495	130	0	0.32372392
500	131	0	0.326993858
505	133	0	0.330263797
510	134	0	0.333533735
515	135	0	0.336803674
520	137	0	0.340073612
525	138	0	0.343343551
530	139	0	0.34661349
535	140	0	0.349883428
540	142	0	0.353153367
545	143	0	0.356423305
550	144	0	0.359693244
555	145	0	0.362963183
560	147	0	0.366233121
565	148	0	0.36950306
570	149	0	0.372772998
575	151	0	0.376042937
580	152	0	0.379312875
585	154	0	0.382582814
590	155	0	0.385852753
595	157	0	0.389122691
600	158	0	0.39239263
605	160	0	0.395662568
610	161	0	0.398932507
615	163	0	0.402202446
620	164	0	0.405472384
625	166	0	0.408742323
630	167	0	0.412012261
635	169	0	0.4152822
640	170	0	0.418552138
645	171	0	0.421822077
650	173	0	0.425092016
655	174	0	0.428361954
660	176	0	0.431631893
665	177	0	0.434901831
670	179	0	0.43817177
675	180	0	0.441441709
680	181	0	0.444711647
685	183	0	0.447981586
690	184	0	0.451251524
695	186	0	0.454521463
700	187	0	0.457791401
705	188	0	0.46106134
710	190	0	0.464331279
715	191	0	0.467601217
720	192	0	0.470871156
725	193	0	0.474141094
730	195	0	0.477411033
735	196	0	0.480680971
740	197	0	0.48395091
745	198	0	0.487220849
750	199	0	0.490490787
755	201	0	0.493760726
760	202	0	0.497030664
765	203	0	0.500300603
770	205	0	0.503570542
775	206	0	0.50684048
780	207	0	0.510110419
785	208	0	0.513380357
790	210	0	0.516650296
795	211	0	0.519920234
800	212	0	0.523190173
805	213	0	0.526460112
810	215	0	0.52973005
815	216	0	0.532999989
820	218	0	0.536269927
825	219	0	0.539539866
830	221	0	0.542809805
835	222	0	0.546079743
840	224	0	0.549349682
845	225	0	0.55261962
850	227	0	0.555889559
855	228	0	0.559159497
860	230	0	0.562429436
865	231	0	0.565699375
870	232	0	0.568969313
875	234	0	0.572239252
880	235	0	0.57550919
885	237	0	0.578779129
890	238	0	0.582049068
895	240	0	0.585319006
900	241	0	0.588588945
905	243	0	0.591858883
910	245	0	0.595128822
915	246	0	0.59839876
920	248	0	0.601668699
925	249	0	0.604938638
930	251	0	0.608208576
935	252	0	0.611478515
940	253	0	0.614748453
945	255	0	0.618018392
950	256	0	0.62128833
955	258	0	0.624558269
960	259	0	0.627828208
965	260	0	0.631098146
970	262	0	0.634368085
975	263	0	0.637638023
980	264	0	0.640907962
985	265	0	0.644177901
990	267	0	0.647447839
995	268	0	0.650717778
1000	269	0	0.653987716
1005	271	0	0.657257655
1010	272	0	0.660527593
1015	273	0	0.663797532
1020	274	0	0.667067471
1025	276	0	0.670337409
1030	277	0	0.673607348
1035	278	0	0.676877286
1040	279	0	0.680147225
1045	281	0	0.683417164
1050	282	0	0.686687102
1055	283	0	0.689957041
1060	285	0	0.693226979
1065	286	0	0.696496918
1070	288	0	0.699766856
1075	289	0	0.703036795
1080	291	0	0.706306734
1085	292	0	0.709576672
1090	294	0	0.712846611
1095	295	0	0.716116549
1100	296	0	0.719386488
1105	298	0	0.722656427
1110	300	0	0.725926365
1115	301	0	0.729196304
1120	303	0	0.732466242
1125	304	0	0.735736181
1130	306	0	0.739006119
1135	307	0	0.742276058
1140	309	0	0.745545997
1145	310	0	0.748815935
1150	312	0	0.752085874
1155	313	0	0.755355812
1160	315	0	0.758625751
1165	316	0	0.76189569
1170	318	0	0.765165628
1175	319	0	0.768435567
1180	321	0	0.771705505
1185	322	0	0.774975444
1190	324	0	0.778245382
1195	325	0	0.781515321
1200	327	0	0.78478526
1205	328	0	0.788055198
1210	330	0	0.791325137
1215	331	0	0.794595075
1220	333	0	0.797865014
1225	334	0	0.801134952
1230	336	0	0.804404891
1235	337	0	0.80767483
1240	338	0	0.810944768
1245	339	0	0.814214707
1250	341	0	0.817484645
1255	342	0	0.820754584
1260	343	0	0.824024523
1265	344	0	0.827294461
1270	346	0	0.8305644
1275	347	0	0.833834338
1280	348	0	0.837104277
1285	349	0	0.840374215
1290	351	0	0.843644154
1295	352	0	0.846914093
1300	353	0	0.850184031
1305	355	0	0.85345397
1310	356	0	0.856723908
1315	357	0	0.859993847
1320	359	0	0.863263786
1325	360	0	0.866533724
1330	361	0	0.869803663
1335	363	0	0.873073601
1340	364	0	0.87634354
1345	366	0	0.879613478
1350	367	0	0.882883417
1355	369	0	0.886153356
1360	370	0	0.889423294
1365	372	0	0.892693233
1370	373	0	0.895963171
1375	375	0	0.89923311
1380	376	0	0.902503049
1385	378	0	0.905772987
1390	379	0	0.909042926
1395	381	0	0.912312864
1400	382	0	0.915582803
1405	384	0	0.918852741
1410	385	0	0.92212268
1415	387	0	0.925392619
1420	388	0	0.928662557
1425	390	0	0.931932496
1430	391	0	0.935202434
1435	393	0	0.938472373
1440	394	0	0.941742311
1445	396	0	0.94501225
1450	397	0	0.948282189
1455	399	0	0.951552127
1460	401	0	0.954822066
1465	402	0	0.958092004
1470	404	0	0.961361943
1475	405	0	0.964631882
1480	407	0	0.96790182
1485	408	0	0.971171759
1490	410	0	0.974441697
1495	411	0	0.977711636
1500	413	0	0.980981574
1505	415	0	0.984251513
1510	416	0	0.987521452
1515	418	0	0.99079139
1520	419	0	0.994061329
1525	420	0	0.997331267
1530	421	0	1.00060121
1535	423	0	1.00387114
1540	424	0	1.00714108
1545	425	0	1.01041102
1550	426	0	1.01368096
1555	428	0	1.0169509
1560	429	0	1.02022084
1565	430	0	1.02349078
1570	431	0	1.02676071
1575	433	0	1.03003065
1580	434	0	1.03330059
1585	435	0	1.03657053
1590	437	0	1.03984047
1595	438	0	1.04311041
1600	439	0	1.04638035
1605	441	0	1.04965028
1610	442	0	1.05292022
1615	443	0	1.05619016
1620	445	0	1.0594601
1625	447	0	1.06273004
1630	448	0	1.06599998
1635	450	0	1.06926992
1640	451	0	1.07253985
1645	452	0	1.07580979
1650	454	0	1.07907973
1655	455	0	1.08234967
1660	457	0	1.08561961
1665	458	0	1.08888955
1670	460	0	1.09215949
1675	461	0	1.09542942
1680	463	0	1.09869936
1685	464	0	1.1019693
1690	466	0	1.10523924
1695	467	0	1.10850918
1700	469	0	1.11177912
1705	471	0	1.11504906
1710	472	0	1.11831899
1715	474	0	1.12158893
1720	475	0	1.12485887
1725	477	0	1.12812881
1730	478	0	1.13139875
1735	480	0	1.13466869
1740	481	0	1.13793863
1745	483	0	1.14120856
1750	484	0	1.1444785
1755	485	0	1.14774844
1760	487	0	1.15101838
1765	488	0	1.15428832
1770	490	0	1.15755826
1775	491	0	1.1608282
1780	493	0	1.16409814
1785	494	0	1.16736807
1790	496	0	1.17063801
1795	497	0	1.17390795
1800	499	0	1.17717789
1805	501	0	1.18044783
1810	502	0	1.18371777
1815	504	0	1.18698771
1820	505	0	1.19025764
1825	506	0	1.19352758
1830	507	0	1.19679752
1835	509	0	1.20006746
1840	510	0	1.2033374
1845	511	0	1.20660734
1850	512	0	1.20987728
1855	514	0	1.21314721
1860	515	0	1.21641715
1865	516	0	1.21968709
1870	517	0	1.22295703
1875	519	0	1.22622697
1880	520	0	1.22949691
1885	521	0	1.23276685
1890	523	0	1.23603678
1895	524	0	1.23930672
1900	525	0	1.24257666
1905	527	0	1.2458466
1910	528	0	1.24911654
1915	530	0	1.25238648
1920	531	0	1.25565642
1925	533	0	1.25892635
1930	534	0	1.26219629
1935	536	0	1.26546623
1940	537	0	1.26873617
1945	539	0	1.27200611
1950	540	0	1.27527605
1955	542	0	1.27854599
1960	543	0	1.28181592
1965	545	0	1.28508586
1970	546	0	1.2883558
1975	548	0	1.29162574
1980	549	0	1.29489568
1985	551	0	1.29816562
1990	552	0	1.30143556
1995	554	0	1.30470549
2000	555	0	1.30797543
2005	557	0	1.31124537
2010	558	0	1.31451531
2015	560	0	1.31778525
2020	561	0	1.32105519
2025	563	0	1.32432513
2030	564	0	1.32759506
2035	566	0	1.330865
2040	567	0	1.33413494
2045	569	0	1.33740488
2050	570	0	1.34067482
2055	572	0	1.34394476
2060	573	0	1.3472147
2065	575	0	1.35048463
2070	576	0	1.35375457
2075	578	0	1.35702451
2080	579	0	1.36029445
2085	581	0	1.36356439
2090	582	0	1.36683433
2095	584	0	1.37010427
2100	585	0	1.3733742
2105	587	0	1.37664414
2110	588	0	1.37991408
2115	590	0	1.38318402
2120	591	0	1.38645396
2125	593	0	1.3897239
2130	594	0	1.39299384
2135	596	0	1.39626377
2140	597	0	1.39953371
2145	599	0	1.40280365
2150	600	0	1.40607359
2155	601	0	1.40934353
2160	602	0	1.41261347
2165	604	0	1.41588341
2170	605	0	1.41915334
2175	606	0	1.42242328
2180	607	0	1.42569322
2185	609	0	1.42896316
2190	610	0	1.4322331
2195	611	0	1.43550304
2200	612	0	1.43877298
