Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188465549	2.1443301e-09	2.1443301e-09	2.1443301e-09	2.1443301e-09	0	0	0	0	0	0	3
2	1	0	0.0376931098	-3.36547138e-08	-1.57551918e-08	-3.36547138e-08	2.1443301e-09	1.78995219e-08	0	0	0	0	0	3
3	1	0	0.0565396646	5.03739753e-08	6.28786388e-09	-3.36547138e-08	5.03739753e-08	2.20430557e-08	0	0	0	0	0	3
4	1	0	0.0753862195	2.09091604e-08	9.94318801e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
5	2	0	0.0942327744	7.82537635e-09	9.51962568e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
6	2	0	0.113079329	8.95515884e-10	8.08227404e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
7	2	0	0.131925884	1.18049237e-09	7.09630523e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
8	3	0	0.150772439	6.63823219e-10	6.29224498e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
9	3	0	0.169618994	9.19778032e-10	5.69530421e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
10	3	0	0.188465549	8.96731356e-10	5.21544692e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
11	3	0	0.207312104	7.83499488e-10	4.81254261e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
12	3	0	0.226158659	2.20160312e-09	4.59496432e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
13	4	0	0.245005213	2.15814078e-09	4.40751636e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
14	4	0	0.263851768	2.38443887e-09	4.26301082e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
15	4	0	0.282698323	2.37352782e-09	4.13704529e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
16	4	0	0.301544878	2.90434499e-09	4.06000152e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
17	4	0	0.320391433	4.5858608e-09	4.09093442e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
18	5	0	0.339237988	6.10356943e-09	4.20274747e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
19	5	0	0.358084543	5.09869613e-09	4.24990267e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
20	5	0	0.376931098	-5.73800052e-09	3.75050751e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
21	5	0	0.395777652	6.0575942e-09	3.86036878e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
22	5	0	0.414624207	2.22964953e-08	4.69837453e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
23	6	0	0.433470762	8.53375703e-09	4.86513029e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
24	6	0	0.452317317	9.78169856e-09	5.0699873e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
25	6	0	0.471163872	-1.21704404e-08	4.38037019e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
26	6	0	0.490010427	-1.07519715e-08	3.79835705e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
27	6	0	0.508856982	-1.54980877e-08	3.08367391e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
28	7	0	0.527703537	-1.60273532e-08	2.4106486e-09	-3.36547138e-08	5.03739753e-08	2.56983799e-08	0	0	0	0	0	3
29	7	0	0.546550091	-1.98021652e-08	2.92370596e-09	-1.98021652e-08	5.03739753e-08	7.53253941e-09	0	0	0	0	0	3
30	7	0	0.565396646	-1.56473541e-08	4.78471534e-10	-1.98021652e-08	2.22964953e-08	9.46471648e-09	0	0	0	0	0	3
31	7	0	0.584243201	-1.76704193e-08	-9.5040179e-10	-1.98021652e-08	2.22964953e-08	1.04700275e-08	0	0	0	0	0	3
32	7	0	0.603089756	-2.20673633e-08	-2.05754029e-09	-2.20673633e-08	2.22964953e-08	1.01398143e-08	0	0	0	0	0	3
33	8	0	0.621936311	-2.13158062e-08	-2.88018185e-09	-2.20673633e-08	2.22964953e-08	9.97648709e-09	0	0	0	0	0	3
34	8	0	0.640782866	-2.00783992e-08	-3.66754821e-09	-2.20673633e-08	2.22964953e-08	9.95979319e-09	0	0	0	0	0	3
35	8	0	0.659629421	-1.77164845e-08	-4.34830035e-09	-2.20673633e-08	2.22964953e-08	1.00436046e-08	0	0	0	0	0	3
36	8	0	0.678475976	-1.50842756e-08	-4.94104307e-09	-2.20673633e-08	2.22964953e-08	1.015649e-08	0	0	0	0	0	3
37	9	0	0.69732253	-1.93130798e-08	-5.6895546e-09	-2.20673633e-08	2.22964953e-08	1.07595419e-08	0	0	0	0	0	3
38	9	0	0.716169085	-1.36765361e-08	-6.22511147e-09	-2.20673633e-08	2.22964953e-08	1.12950988e-08	0	0	0	0	0	3
39	9	0	0.73501564	-1.17358609e-08	-6.74131384e-09	-2.20673633e-08	2.22964953e-08	1.18113011e-08	0	0	0	0	0	3
40	9	0	0.753862195	2.08823156e-07	9.1294599e-10	-2.20673633e-08	2.08823156e-07	1.18113011e-08	0	0	0	0	0	3
41	9	0	0.77270875	1.71302127e-07	7.16915665e-09	-2.20673633e-08	2.08823156e-07	1.39104705e-08	0	0	0	0	0	3
42	10	0	0.791555305	-8.09883526e-07	-2.29144379e-08	-8.09883526e-07	2.08823156e-07	3.00835946e-08	0	0	0	0	0	3
43	10	0	0.81040186	-4.51642882e-07	-3.97495204e-08	-8.09883526e-07	2.08823156e-07	4.69186771e-08	0	0	0	0	0	3
44	10	0	0.829248415	-1.31590006e-06	-8.86564063e-08	-1.31590006e-06	2.08823156e-07	9.5825563e-08	0	0	0	0	0	3
45	10	0	0.848094969	-1.55198932e-06	-1.4636355e-07	-1.55198932e-06	2.08823156e-07	1.53532707e-07	0	0	0	0	0	3
46	10	0	0.866941524	-1.59707787e-06	-2.05703423e-07	-1.59707787e-06	2.08823156e-07	2.1287258e-07	0	0	0	0	0	3
47	10	0	0.885788079	-1.10339724e-06	-2.46357469e-07	-1.59707787e-06	2.08823156e-07	2.53526626e-07	0	0	0	0	0	3
48	11	0	0.904634634	-5.07712069e-07	-2.65385975e-07	-1.59707787e-06	2.08823156e-07	2.72555132e-07	0	0	0	0	0	3
49	11	0	0.923481189	-3.70021192e-06	-4.03256657e-07	-3.70021192e-06	2.08823156e-07	4.10425814e-07	0	0	0	0	0	3
50	11	0	0.942327744	-1.82073635e-06	-4.71007402e-07	-3.70021192e-06	2.08823156e-07	4.78176559e-07	0	0	0	0	0	3
51	11	0	0.961174299	-2.47526762e-06	-5.63046266e-07	-3.70021192e-06	2.08823156e-07	5.70215422e-07	0	0	0	0	0	3
52	11	0	0.980020854	-5.84086871e-06	-7.78923979e-07	-5.84086871e-06	2.08823156e-07	7.86093136e-07	0	0	0	0	0	3
53	11	0	0.998867408	-3.5580682e-06	-9.10306062e-07	-5.84086871e-06	2.08823156e-07	9.17475218e-07	0	0	0	0	0	3
54	11	0	1.01771396	-1.83636936e-06	-9.77745739e-07	-5.84086871e-06	2.08823156e-07	9.84914895e-07	0.147968029	0	0	0	0	3
55	12	0	1.03656052	1.33815057e-06	-9.27591001e-07	-5.84086871e-06	1.33815057e-06	9.84914895e-07	0.147757007	0	0	0	0	3
56	12	0	1.05540707	-2.22782133e-08	-9.27682706e-07	-5.84086871e-06	1.33815057e-06	9.84914895e-07	0.146780772	0	0	0	0	3
57	12	0	1.07425363	-5.11402436e-07	-9.46044005e-07	-5.84086871e-06	1.33815057e-06	9.84914895e-07	0.146631631	0	0	0	0	3
58	12	0	1.09310018	-4.84872938e-07	-9.63347802e-07	-5.84086871e-06	1.33815057e-06	9.84914895e-07	0.143333387	0	0	0	0	3
59	12	0	1.11194674	-2.68680204e-06	-1.06204168e-06	-5.84086871e-06	1.33815057e-06	1.06921084e-06	0.141083526	0	0	0	0	3
60	12	0	1.13079329	1.03828877e-07	-1.05740669e-06	-5.84086871e-06	1.33815057e-06	1.06921084e-06	0.13876011	0	0	0	0	3
