Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0166116817
2	4	0	0.0332233635
3	4	0	0.0498350452
4	4	0	0.0664467269
5	5	0	0.0830584087
6	5	0	0.0996700904
7	6	0	0.116281772
8	6	0	0.132893454
9	7	0	0.149505136
10	7	0	0.166116817
11	7	0	0.182728499
12	8	0	0.199340181
13	8	0	0.215951863
14	9	0	0.232563544
15	9	0	0.249175226
16	10	0	0.265786908
17	10	0	0.28239859
18	11	0	0.299010271
19	11	0	0.315621953
20	12	0	0.332233635
21	12	0	0.348845316
22	13	0	0.365456998
23	13	0	0.38206868
24	14	0	0.398680362
25	14	0	0.415292043
26	14	0	0.431903725
27	15	0	0.448515407
28	15	0	0.465127089
29	16	0	0.48173877
30	16	0	0.498350452
31	17	0	0.514962134
32	17	0	0.531573816
33	17	0	0.548185497
34	18	0	0.564797179
35	18	0	0.581408861
36	19	0	0.598020542
37	19	0	0.614632224
38	20	0	0.631243906
39	20	0	0.647855588
40	21	0	0.664467269
41	21	0	0.681078951
42	22	0	0.697690633
43	22	0	0.714302315
44	23	0	0.730913996
45	23	0	0.747525678
46	24	0	0.76413736
47	24	0	0.780749042
48	24	0	0.797360723
49	25	0	0.813972405
50	25	0	0.830584087
51	26	0	0.847195769
52	26	0	0.86380745
53	26	0	0.880419132
54	27	0	0.897030814
55	27	0	0.913642495
56	28	0	0.930254177
57	28	0	0.946865859
58	29	0	0.963477541
59	29	0	0.980089222
60	29	0	0.996700904
61	30	0	1.01331259
62	30	0	1.02992427
63	31	0	1.04653595
64	31	0	1.06314763
65	31	0	1.07975931
66	32	0	1.09637099
67	32	0	1.11298268
68	33	0	1.12959436
69	33	0	1.14620604
70	34	0	1.16281772
71	34	0	1.1794294
72	34	0	1.19604108
73	35	0	1.21265277
74	35	0	1.22926445
75	36	0	1.24587613
76	36	0	1.26248781
77	37	0	1.27909949
78	37	0	1.29571118
79	37	0	1.31232286
80	38	0	1.32893454
81	38	0	1.34554622
82	39	0	1.3621579
83	39	0	1.37876958
84	39	0	1.39538127
85	40	0	1.41199295
86	40	0	1.42860463
87	41	0	1.44521631
88	41	0	1.46182799
89	42	0	1.47843967
90	42	0	1.49505136
91	42	0	1.51166304
92	43	0	1.52827472
93	43	0	1.5448864
94	44	0	1.56149808
95	44	0	1.57810976
96	45	0	1.59472145
97	45	0	1.61133313
98	45	0	1.62794481
99	46	0	1.64455649
100	46	0	1.66116817
101	47	0	1.67777986
102	47	0	1.69439154
103	48	0	1.71100322
104	48	0	1.7276149
105	49	0	1.74422658
106	49	0	1.76083826
107	49	0	1.77744995
108	50	0	1.79406163
109	50	0	1.81067331
110	51	0	1.82728499
111	51	0	1.84389667
112	51	0	1.86050835
113	52	0	1.87712004
114	52	0	1.89373172
115	53	0	1.9103434
116	53	0	1.92695508
117	53	0	1.94356676
118	54	0	1.96017844
119	54	0	1.97679013
120	55	0	1.99340181
121	55	0	2.01001349
122	55	0	2.02662517
123	56	0	2.04323685
124	56	0	2.05984854
125	57	0	2.07646022
126	57	0	2.0930719
127	57	0	2.10968358
128	58	0	2.12629526
129	58	0	2.14290694
130	59	0	2.15951863
131	59	0	2.17613031
132	60	0	2.19274199
133	60	0	2.20935367
134	61	0	2.22596535
135	61	0	2.24257703
136	61	0	2.25918872
137	62	0	2.2758004
138	62	0	2.29241208
139	63	0	2.30902376
140	63	0	2.32563544
141	64	0	2.34224712
142	64	0	2.35885881
143	65	0	2.37547049
144	65	0	2.39208217
145	65	0	2.40869385
146	66	0	2.42530553
147	66	0	2.44191722
148	67	0	2.4585289
149	67	0	2.47514058
150	68	0	2.49175226
151	68	0	2.50836394
152	68	0	2.52497562
153	69	0	2.54158731
154	69	0	2.55819899
155	70	0	2.57481067
156	70	0	2.59142235
157	71	0	2.60803403
158	71	0	2.62464571
159	72	0	2.6412574
160	72	0	2.65786908
161	72	0	2.67448076
162	73	0	2.69109244
163	73	0	2.70770412
164	74	0	2.7243158
165	74	0	2.74092749
166	74	0	2.75753917
167	75	0	2.77415085
168	75	0	2.79076253
169	76	0	2.80737421
170	76	0	2.8239859
171	77	0	2.84059758
172	77	0	2.85720926
173	77	0	2.87382094
174	78	0	2.89043262
175	78	0	2.9070443
176	79	0	2.92365599
177	79	0	2.94026767
178	79	0	2.95687935
179	80	0	2.97349103
180	80	0	2.99010271
181	81	0	3.00671439
182	81	0	3.02332608
183	82	0	3.03993776
184	82	0	3.05654944
185	82	0	3.07316112
186	83	0	3.0897728
187	83	0	3.10638448
188	84	0	3.12299617
189	84	0	3.13960785
190	84	0	3.15621953
191	85	0	3.17283121
192	85	0	3.18944289
193	86	0	3.20605457
194	86	0	3.22266626
195	86	0	3.23927794
196	87	0	3.25588962
197	87	0	3.2725013
198	88	0	3.28911298
199	88	0	3.30572467
200	89	0	3.32233635
201	90	0	3.33894803
202	90	0	3.35555971
203	91	0	3.37217139
204	91	0	3.38878307
205	91	0	3.40539476
206	92	0	3.42200644
207	92	0	3.43861812
208	93	0	3.4552298
209	93	0	3.47184148
210	93	0	3.48845316
211	94	0	3.50506485
212	94	0	3.52167653
213	95	0	3.53828821
214	95	0	3.55489989
215	95	0	3.57151157
216	96	0	3.58812325
217	96	0	3.60473494
218	97	0	3.62134662
219	97	0	3.6379583
220	98	0	3.65456998
221	98	0	3.67118166
222	98	0	3.68779335
223	99	0	3.70440503
224	99	0	3.72101671
225	100	0	3.73762839
226	100	0	3.75424007
227	101	0	3.77085175
228	101	0	3.78746344
229	101	0	3.80407512
230	102	0	3.8206868
231	102	0	3.83729848
232	103	0	3.85391016
233	103	0	3.87052184
234	103	0	3.88713353
235	104	0	3.90374521
236	104	0	3.92035689
237	105	0	3.93696857
238	105	0	3.95358025
239	105	0	3.97019193
240	106	0	3.98680362
241	106	0	4.0034153
