Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	1	0	0.05
3	1	0	0.075
4	1	0	0.1
5	1	0	0.125
6	1	0	0.15
7	1	0	0.175
8	1	0	0.2
9	1	0	0.225
10	1	0	0.25
11	1	0	0.275
12	1	0	0.3
13	2	0	0.325
14	2	0	0.35
15	2	0	0.375
16	2	0	0.4
17	2	0	0.425
18	2	0	0.45
19	2	0	0.475
20	2	0	0.5
21	2	0	0.525
22	2	0	0.55
23	2	0	0.575
24	2	0	0.6
25	2	0	0.625
26	3	0	0.65
27	3	0	0.675
28	3	0	0.7
29	3	0	0.725
30	3	0	0.75
31	3	0	0.775
32	3	0	0.8
33	3	0	0.825
34	3	0	0.85
35	3	0	0.875
36	3	0	0.9
37	3	0	0.925
38	4	0	0.95
39	4	0	0.975
40	4	0	1
41	4	0	1.025
42	4	0	1.05
43	4	0	1.075
44	4	0	1.1
45	4	0	1.125
46	4	0	1.15
47	4	0	1.175
48	5	0	1.2
49	5	0	1.225
50	5	0	1.25
51	5	0	1.275
52	5	0	1.3
53	5	0	1.325
54	5	0	1.35
55	5	0	1.375
56	5	0	1.4
57	5	0	1.425
58	6	0	1.45
59	6	0	1.475
60	6	0	1.5
61	6	0	1.525
62	6	0	1.55
63	6	0	1.575
64	6	0	1.6
65	6	0	1.625
66	6	0	1.65
67	7	0	1.675
68	7	0	1.7
69	7	0	1.725
70	7	0	1.75
71	7	0	1.775
72	7	0	1.8
73	7	0	1.825
74	7	0	1.85
75	7	0	1.875
76	8	0	1.9
77	8	0	1.925
78	8	0	1.95
79	8	0	1.975
80	8	0	2
81	8	0	2.025
82	8	0	2.05
83	8	0	2.075
